Date,Region,Facility,Energy_MWh,Emission_Factor,Production,Emissions_tCO2,Waste_Kg,Renewable_percent,Transport_Emissions,PolicyWeight
"Wednesday, January 01, 2025",Region 1,Facility 5,237.79747,EF,2241.0,16.67,31548.14,40.0,0,0.8
"Wednesday, November 01, 2023",Region 1,Facility 5,238.36534,EF,1728.0,31.19,18626.0,40.0,0,0.8
"Friday, March 01, 2024",Region 1,Facility 34,240.28637,EF,994.0,21.57,18710.0,40.0,0,0.8
"Saturday, January 01, 2022",Region 1,Facility 5,240.51778,EF,1966.0,40.5,21189.95,40.0,0,0.8
"Monday, April 01, 2024",Region 3,Facility 35,240.61202,EF,3294.0,0.42,254316.0,40.0,0,0.8
"Wednesday, June 01, 2022",Region 3,Facility 7,242.53244,EF,400.86,17.27,27034.0,40.0,0,0.8
"Saturday, October 01, 2022",Region 3,Facility 35,243.177,EF,2241.3,0.0,226238.0,40.0,0,0.8
"Thursday, June 01, 2023",Region 3,Facility 35,244.524,EF,2760.34,0.0,216519.8,40.0,0,0.8
"Thursday, June 01, 2023",Region 1,Facility 5,244.67467,EF,1770.0,39.34,20694.57,40.0,0,0.8
"Friday, July 01, 2022",Region 3,Facility 35,244.94,EF,2526.04,0.0,246705.0,40.0,0,0.8
"Thursday, September 01, 2022",Region 1,Facility 33,246.096,EF,1872.0,0.0,40748.0,40.0,0,0.8
"Tuesday, November 01, 2022",Region 1,Facility 4,249.37666,EF,4754.29,8.24,34103.0,40.0,0,0.8
"Thursday, February 01, 2024",Region 1,Facility 4,249.48444,EF,6970.63,7.97,44324.5,40.0,0,0.8
"Tuesday, April 01, 2025",Region 3,Facility 35,249.82532,EF,3019.1,0.41,221656.0,40.0,0,0.8
"Wednesday, January 01, 2025",Region 1,Facility 8,249.87455,EF,1510.92,2.44,35420.0,40.0,0,0.8
"Thursday, August 01, 2024",Region 1,Facility 5,250.90763,EF,1630.0,25.29,14192.4,40.0,0,0.8
"Wednesday, June 01, 2022",Region 1,Facility 33,251.37001,EF,1658.0,1.34,43535.0,40.0,0,0.8
"Tuesday, November 01, 2022",Region 1,Facility 5,251.48103,EF,1760.26,41.16,21677.0,40.0,0,0.8
"Tuesday, April 01, 2025",Region 1,Facility 5,252.79884,EF,1801.0,23.23,27420.97,40.0,0,0.8
"Friday, September 01, 2023",Region 1,Facility 6,253.17401,EF,6107.48,16.05,16990.0,40.0,0,0.8
"Tuesday, October 01, 2024",Region 3,Facility 35,253.48535,EF,2824.07,0.42,220345.4,40.0,0,0.8
"Thursday, September 01, 2022",Region 3,Facility 35,253.654,EF,2364.33,0.0,192886.0,40.0,0,0.8
"Thursday, December 01, 2022",Region 1,Facility 4,253.74265,EF,5715.62,1.61,48754.0,40.0,0,0.8
"Sunday, December 01, 2024",Region 1,Facility 33,254.82513,EF,1443.63,0.04,59396.2,40.0,0,0.8
"Tuesday, March 01, 2022",Region 1,Facility 5,255.64218,EF,1549.06,41.76,23506.73,40.0,0,0.8
"Friday, April 01, 2022",Region 3,Facility 35,256.59,EF,2612.2,0.0,246846.0,40.0,0,0.8
"Monday, January 01, 2024",Region 1,Facility 4,256.71433,EF,6828.99,8.99,45032.0,40.0,0,0.8
"Sunday, December 01, 2024",Region 1,Facility 6,256.78187,EF,6264.34,14.22,9890.0,40.0,0,0.8
